lifter_id,Name,Sex,BirthYearClass,Country
151,Hsin-Ju Lucinda Tseng,F,24-39,Australia
152,India Stewart,F,24-39,Australia
153,Candice Dooley,F,24-39,Australia
154,Josie Seeto,F,19-23,Australia
155,Joyce Qian,F,24-39,Australia
156,Samantha Fahey,F,24-39,Australia
157,Ashleigh Brooks,F,24-39,Australia
158,Vivienne Mutembwa,F,24-39,Australia
159,Amy Beutel,F,24-39,Australia
160,Mackenzie Woodman,F,24-39,Australia
161,Kitaan Reddy,M,19-23,Australia
162,Felix Booth,M,19-23,Australia
163,Hugh Spackman,M,19-23,Australia
164,John Tran #1,M,40-49,Australia
165,Steven Wibisono,M,50-59,Australia
166,George Alex,M,24-39,Australia
167,Jimmy De Jesus,M,24-39,Australia
168,Bingyu Yang,M,24-39,Australia
169,Richard Chalik,M,24-39,Australia
170,Jordan Sibley,M,24-39,Australia
171,Edward Lin,M,24-39,Australia
172,Osama Abida,M,24-39,Australia
173,Ryan Lee #6,M,24-39,Australia
174,Stephen Chen #3,M,24-39,Australia
175,Kenn Cao,M,14-18,Australia
176,Alexander Fomin,M,24-39,Australia
177,Elizabeth Short,F,70-999,Australia
178,Ngoc Nguyen,F,24-39,Australia
179,Hannah Quilford,F,24-39,Australia
180,Chloe-Gage Pearson,F,24-39,Australia
181,Jessica Bishop #2,F,24-39,Australia
182,Godwin Esto,M,24-39,Australia
183,Kyle Seo,M,,Australia
184,Anthony Long,M,24-39,Australia
185,Brandon Newell,M,14-18,Australia
186,Harry Powell,M,19-23,Australia
187,Andy Nguyen #10,M,19-23,Australia
188,Nicolas Muir,M,19-23,Australia
189,Luke Exley,M,19-23,Australia
190,Lythamie Ware,F,19-23,Australia
191,Jack Tocknell,M,19-23,Australia
192,Oscar Mou,M,19-23,Australia
193,Christian Dang,M,19-23,Australia
194,Jahlanz Akaata,F,19-23,Australia
195,Richard McMahon,M,40-49,Australia
196,Gwendoline Currey,F,60-69,Australia
197,Dennis Donaldson,M,60-69,Australia
198,Brian McMahon #2,M,70-999,Australia
199,Jahvi Salcombe,F,24-39,Australia
200,Clarissa Mika-Godinet,F,24-39,Australia
201,Tristan Paul,M,24-39,Australia
202,Kyle Rook,M,24-39,Australia
203,Norbert Balacinski,M,24-39,Australia
204,Mehrdad Akbari,M,24-39,Australia
205,William Wallace #1,M,24-39,Australia
206,Noah Marano,M,24-39,Australia
207,Joshua Bower,M,24-39,Australia
208,Loi Nguyen,M,24-39,Australia
209,Jaspa Mahoney,M,24-39,Australia
210,Joshua Chee,M,24-39,Australia
211,Cory Gilbert,M,24-39,Australia
212,Marc Reid,M,24-39,Australia
213,Ian Burns,M,24-39,Australia
214,Redmon Borinez,M,24-39,Australia
215,Gabby Mast,F,24-39,Australia
216,Clinton Tran,M,19-23,Australia
217,Daniel Heffernan,M,24-39,Australia
218,Shinay Archer,F,24-39,Australia
219,Jasmine Murphy,F,24-39,Australia
220,Justine Beuvelot,F,24-39,Australia
221,Tommy Lou,M,14-18,Australia
222,Keerthan Dinesh,M,14-18,Australia
223,Indi Glancey,F,19-23,Australia
224,Mariange Jabbour,F,19-23,Australia
225,Teresa MacGinley,F,40-49,Australia
226,Francheska Louise Oprenario,F,24-39,Australia
227,Kyna Grace Joven,F,24-39,Australia
228,Tiffany Tran #1,F,24-39,Australia
229,Camille Bianco,F,24-39,Australia
230,Sarah Toohill,F,24-39,Australia
231,Wendy Amid,F,24-39,Australia
232,Joyce Qian,F,19-23,Australia
233,Vavani Sionillo,F,24-39,Australia
234,Lily Ngo,F,19-23,Australia
235,Ailsa Nguyen,F,24-39,Australia
236,Katherine Thong,F,14-18,Australia
237,Joseph Ly,M,19-23,Australia
238,Daniel Burford,M,19-23,Australia
239,Humphrey Guo,M,19-23,Australia
240,Jackson Liu,M,19-23,Australia
241,Henry Le,M,19-23,Australia
242,Oliver Badr,M,19-23,Australia
243,Dylan Langdon,M,19-23,Australia
244,Ethan Carlos,M,19-23,Australia
245,Isaac Armstrong,M,19-23,Australia
246,Kyle Spinks,M,19-23,Australia
247,Brendan Micallef,M,19-23,Australia
248,Yusuf Hindi,M,19-23,Australia
249,Scott Herman,M,19-23,Australia
250,Matthew Andrews,M,19-23,Australia
251,Heath Jackson,M,19-23,Australia
252,Sami Salman,M,40-49,Australia
253,Jin Yu,M,40-49,Australia
254,Tony Vuong #1,M,24-39,Australia
255,William Huang,M,24-39,Australia
256,Bradley Evans,M,24-39,Australia
257,Justin Caile Santos,M,24-39,Australia
258,Andrew Sturman,M,24-39,Australia
259,Jay Raffaut,M,24-39,Australia
260,Aden Fardell,M,24-39,Australia
261,Tai Uong,M,24-39,Australia
262,Karim Saad,M,24-39,Australia
263,Cailem Ryan,M,24-39,Australia
264,Jason Salvini,M,24-39,Australia
265,Jonathan Krisnadi,M,24-39,Australia
266,Conner Disbery,M,24-39,Australia
267,Derron Adviento,M,14-18,Australia
268,Khaled Ghamrawi,M,14-18,Australia
269,William Gwynne,M,14-18,Australia
270,Ainsley Jones,F,24-39,Australia
271,Jade Pritchard,F,,Australia
272,Bella Cheshire,F,,Australia
273,Daniel Lee #14,M,24-39,Australia
274,Hannah Taylor,F,19-23,Australia
275,Angeline Khoury,F,24-39,Australia
276,Cate Darling,F,14-18,Australia
277,Ben Vu,M,,Australia
278,Hayden van Vlimmeren,M,24-39,Australia
279,Grace Mcquade,F,,Australia
280,Tarne Steele,F,24-39,Australia
281,Brayden Knott,M,19-23,Australia
282,Ryan Cooper #1,M,19-23,Australia
283,Jamie Whyte,M,14-18,Australia
284,Natalia Leszczynski,F,19-23,Australia
285,Lanai Elbourne,F,50-59,Australia
286,Joshua Scott,M,,Australia
287,Brenn Cruz,M,24-39,Australia
288,Mitchell Browne,M,24-39,Australia
289,Derry Kim,M,24-39,Australia
290,Maggie Croal,F,,Australia
291,Rachel Dries,F,40-49,Australia
292,Fletcher Masters,M,,Australia
293,Brian Nguyen #1,M,19-23,Australia
294,Samuel Bollipo,M,19-23,Australia
295,Frederick Stevens,M,19-23,Australia
296,Ethan Konz,M,,Australia
297,Gabriel Michaels,M,,Australia
298,Ben Ling,M,19-23,Australia
299,Ronack Jain,M,,Australia
300,Sebastian Kratz,M,24-39,Australia
301,Alex Tomasko,M,24-39,Australia
302,Hugo Souris,M,19-23,Australia
303,Clayten McGlynn,M,19-23,Australia
304,Logan Dries,M,19-23,Australia
305,Jeremy Balasabas,M,19-23,Australia
306,Jacob Bone,M,19-23,Australia
307,Blake Aubin,M,24-39,Australia
308,Yashpreet Mangat,M,19-23,Australia
309,Jedi Dallow,M,19-23,Australia
310,John Hallford Jnr,M,19-23,Australia
311,Michael Plant,M,,Australia
312,Alexander Chu #1,M,,Australia
313,Evan Stafford,M,,Australia
314,Michael-Jay Walters,M,19-23,Australia
315,Caleb Vecchio-Ruggeri,M,24-39,Australia
316,Kahu Rupene,M,24-39,Australia
317,Tahmia Khan,F,,Australia
318,Lucille Ruggeri,F,50-59,Australia
319,Renay Ferguson,F,40-49,Australia
320,Annabelle Regan,F,24-39,Australia
321,Basira Khan,F,19-23,Australia
322,Ayra Raza,F,19-23,Australia
323,Nyah Keep,F,19-23,Australia
324,Thao Pham #1,F,40-49,Australia
325,Meaghan Trovato,F,40-49,Australia
326,Laura Raby,F,40-49,Australia
327,Kristi Bateman Lee,F,40-49,Australia
328,Sarah Wheal,F,40-49,Australia
329,Lin Donevska,F,50-59,Australia
330,Carole Condon,F,50-59,Australia
331,Julie Henderson,F,50-59,Australia
332,Emily Roach,F,19-23,Australia
333,Quinnie Angela,F,24-39,Australia
334,Hsin-Ju Tseng,F,24-39,Australia
335,Emily Lai,F,24-39,Australia
336,Steph Bissett,F,24-39,Australia
337,Daisy Brooks,F,19-23,Australia
338,Kelly Andrews #1,F,24-39,Australia
339,Steph Iosia,F,24-39,Australia
340,Rachel Elms,F,24-39,Australia
341,Marah Bonifacio,F,24-39,Australia
342,Chloe Liebeck,F,24-39,Australia
343,Renae Albuquerque,F,24-39,Australia
344,Madison Pearce,F,24-39,Australia
345,Luseane Lafaele,F,24-39,Australia
346,Rebecca Blenkin,F,24-39,Australia
347,Maddi Harper,F,14-18,Australia
348,Imogen Maiklem,F,14-18,Australia
349,Emma Hammann,F,14-18,Australia
350,Youssef Jaziri,M,19-23,Australia
351,Dimitri Tsagaris,M,19-23,Australia
352,Jordan O'Sullivan,M,19-23,Australia
353,James Luo,M,19-23,Australia
354,Daniel Hewitt,M,40-49,Australia
355,Stephen Varady,M,60-69,Australia
356,Steven Vo,M,24-39,Australia
357,Zachary Torrevillas,M,24-39,Australia
358,Mitsunori Chiba,M,24-39,Australia
359,Kevin Ly,M,24-39,Australia
360,Patrick Gregorowski,M,24-39,Australia
361,Alan Jenkins,M,24-39,Australia
362,Haoxuan He,M,24-39,Australia
363,Nathan Young #1,M,24-39,Australia
364,Jason Raby,M,40-49,Australia
365,Dylan McInroy,M,24-39,Australia
366,Ben Tinh Tam Nguyen,M,24-39,Australia
367,Caleb Bartolome-Schooling,M,14-18,Australia
368,Dominic Pouranvieh,M,14-18,Australia
369,Declan Hutton,M,14-18,Australia
370,Elliot Pavy,M,14-18,Australia
371,Cooper Ison,M,14-18,Australia
372,Thomas Barney,M,14-18,Australia
373,Sharon Laffan,F,40-49,Australia
374,Esther Cawthorn,F,50-59,Australia
375,Heather Christian,F,50-59,Australia
376,Eagle Ryanzke,F,60-69,Australia
377,Durga Gopala-Krishnan,F,24-39,Australia
378,Alysha Sargent #2,F,24-39,Australia
379,Maddy Dobson,F,24-39,Australia
380,Ana Lia Campos,F,24-39,Australia
381,Amelia Briant,F,24-39,Australia
382,Susan Yang,F,24-39,Australia
383,Melissa Groves,F,24-39,Australia
384,Kaitlyn Krahe,F,24-39,Australia
385,Shania George,F,24-39,Australia
386,Connor Flaherty,M,19-23,Australia
387,Michael Kooistra,M,40-49,Australia
388,Carl Pearson,M,40-49,Australia
389,Miskad Miskad,M,50-59,Australia
390,John Fitzgerald,M,60-69,Australia
391,Jacob Leaman,M,24-39,Australia
392,Jeremy Fraser,M,24-39,Australia
393,Hayden Clark,M,24-39,Australia
394,Angus Haydon,M,24-39,Australia
395,Brodie Fisher,M,24-39,Australia
396,Aidan Judd,M,14-18,Australia
397,Zoe Thomas #1,F,24-39,Australia
398,Cameron Jackson #4,M,19-23,Australia
399,Stephanie Warden,F,,Australia
400,Kimberley Lee Mei Zhi,F,,Australia
401,Amie Culverson,F,40-49,Australia
402,Husnul Khatimah Binti Wajidi,F,40-49,Australia
403,Sharna Sumpton,F,50-59,Australia
404,Cecilia Prele,F,50-59,Australia
405,Bree Smith #2,F,24-39,Australia
406,Faith Shaw,F,,Australia
407,Taflin Pringle,F,,Australia
408,Lisa Retallack,F,,Australia
409,Daisy Brooks,F,24-39,Australia
410,Chloe Caisley,F,19-23,Australia
411,Marisa Sanft,F,24-39,Australia
412,Gabrielle Green,F,24-39,Australia
413,Sheena Veldt,F,40-49,Australia
414,Marina Skelton,F,,Australia
415,Arnica Gillard,F,19-23,Australia
416,Yi-Shan Lim,F,19-23,Australia
417,Paige Withnell,F,19-23,Australia
418,Kristy Ireland,F,24-39,Australia
419,Megan Chang,F,,Australia
420,Lesley Nation,F,40-49,Australia
421,Natalie Laalaai,F,24-39,Australia
422,Pat O'Connell,F,50-59,Australia
423,Charlotte Pierce,F,,Australia
424,Ryan Sunol,M,24-39,Australia
425,Way Han Lim,M,19-23,Australia
426,Daniel Nguyen #7,M,19-23,Australia
427,Hayden Wilkinson,M,19-23,Australia
428,Caelan Swinden,M,,Australia
429,Chad Blachford,M,19-23,Australia
430,Dylan Pelias,M,19-23,Australia
431,Cormac Drakeford,M,,Australia
432,Damon Lindorff,M,19-23,Australia
433,James Lugg,M,19-23,Australia
434,Mark Micire,M,40-49,Australia
435,Joshua Logan,M,24-39,Australia
436,Julian Sgro,M,,Australia
437,Anthony Verity,M,,Australia
438,Ninh Do,M,24-39,Australia
439,Asher Wong,M,24-39,Australia
440,Sezer Turay,M,24-39,Australia
441,Stephen Nguyen,M,,Australia
442,Jacob Sofianos,M,24-39,Australia
443,Michael Buzzai,M,,Australia
444,Felipe Martinez,M,,Australia
445,Aaron Tan,M,,Australia
446,Zacchaeus Lai,M,,Australia
447,Harry Frith,M,,Australia
448,Stephen Moss,M,,Australia
449,Sky Loy,M,19-23,Australia
450,Alen Chiu,M,19-23,Australia
451,Cahir McGrory,M,,Australia
452,CJ Dumaguing,M,24-39,Australia
453,Aron Alino,M,,Australia
454,Adam Lawtie,M,,Australia
455,Bryan Huynh #1,M,19-23,Australia
456,Kyle Braganza,M,19-23,Australia
457,Daniel Thaung,M,24-39,Australia
458,Reese Noble,M,19-23,Australia
459,Alex McCarthy #4,M,,Australia
460,Adam Jones #1,M,24-39,Australia
461,Rhys Job,M,24-39,Australia
462,Tarquin Smart,M,,Australia
463,Michael Bull,M,,Australia
464,Colin Le,M,24-39,Australia
465,Thomas Davidson #4,M,24-39,Australia
466,Semisi Amato,M,24-39,Australia
467,Jaxon Best,M,,Australia
468,Bailey Irvine,M,,Australia
469,Ben Blotch,M,,Australia
470,John Marsden #3,M,,Australia
471,Nathan Tatur,M,,Australia
472,Caolan McCaughan,M,14-18,Australia
473,Evan Cockburn,M,14-18,Australia
474,Dashiel Clarke-Jayan,M,14-18,Australia
475,Cameron Elliot,M,24-39,Australia
476,Leah Jones,F,19-23,Australia
477,Montana Sweeney,F,19-23,Australia
478,Asha Gallard,F,19-23,Australia
479,Fiona Wallace,F,50-59,Australia
480,Wendy Waddell,F,60-69,Australia
481,Nur Zalina Faz Rosli,F,24-39,Australia
482,Dani Biscocho,F,24-39,Australia
483,Sharni Sykes,F,24-39,Australia
484,Maria Andonova,F,24-39,Australia
485,Maddison Poulton,F,24-39,Australia
486,Rebecca Riddiford,F,24-39,Australia
487,Shae Danilo,F,24-39,Australia
488,Ebony Taylor,F,24-39,Australia
489,Dane Hakopa,M,19-23,Australia
490,Arnaud Fitzgerald,M,19-23,Australia
491,Harshith Macherla,M,19-23,Australia
492,Dean Maidment,M,60-69,Australia
493,Brandon Refalo,M,24-39,Australia
494,Avneet Singh,M,24-39,Australia
495,Alex Karayanni,M,24-39,Australia
496,Petro Vafeas,M,24-39,Australia
497,Aaron Weinstock,M,40-49,Australia
498,Jake Rossi,M,24-39,Australia
499,Jeremy Borzillo,M,24-39,Australia
500,July Soe,F,24-39,Australia
501,Anthony Kelly,M,19-23,Australia
502,Tye Schaumkel,M,19-23,Australia
503,Joel Ibbotson,M,40-49,Australia
504,Jonathan Powles,M,50-59,Australia
505,Dylan Sorensen,M,24-39,Australia
506,Tim Ngo,M,19-23,Australia
507,Gavin Gosain,M,24-39,Australia
508,Austin Hedge,M,24-39,Australia
509,Jason Meiring,M,24-39,Australia
510,Lucas Frizzo,M,24-39,Australia
511,Gavish Kalia,M,24-39,Australia
512,Zachariah Penboss,M,24-39,Australia
513,Nicholas McInerney,M,24-39,Australia
514,Quoc Dinh,M,14-18,Australia
515,Anne Burns,F,19-23,Australia
516,Shereen Hallig,F,19-23,Australia
517,Anna Cheng,F,19-23,Australia
518,Alicia Amani,F,19-23,Australia
519,Hannah Bradley,F,19-23,Australia
520,Jessica Olliver,F,19-23,Australia
521,Isabel Malanos,F,19-23,Australia
522,Tiggy Sadler-Barker,F,19-23,Australia
523,Catherine Griffiths,F,50-59,Australia
524,Leah Ibrahim,F,24-39,Australia
525,Jenny Chan,F,24-39,Australia
526,Miya Chesterman,F,24-39,Australia
527,Jessica Chhai,F,24-39,Australia
528,Elicia Cantelo,F,24-39,Australia
529,Jennifer Zhang,F,24-39,Australia
530,Katelyn Attia,F,24-39,Australia
531,Alexandra Bonner,F,24-39,Australia
532,Caroline Boyadjian,F,24-39,Australia
533,Anna McRae,F,24-39,Australia
534,Antonia Wong,F,24-39,Australia
535,Karol Fuentes,F,24-39,Australia
536,Colette Yoong,F,24-39,Australia
537,Tran Yvonne Nguyen,F,24-39,Australia
538,Candace Alexander,F,24-39,Australia
539,Andrea Hayes,F,19-23,Australia
540,Dorota Bragg,F,24-39,Australia
541,Lythamie Ware,F,24-39,Australia
542,Kelly-Anne Manning,F,24-39,Australia
543,Caitlin Brines,F,24-39,Australia
544,Nikita McBryde,F,24-39,Australia
545,Ashleigh Armanasco,F,24-39,Australia
546,Leanna Shteinberg,F,24-39,Australia
547,Mikaela Warylo,F,14-18,Australia
548,Joanne Cugnet,F,50-59,Australia
549,James Barnes #1,M,24-39,Australia
550,Nima Truman,M,19-23,Australia
551,Cameron Ord,M,19-23,Australia
552,Brendan Johnson #2,M,14-18,Australia
553,Ryan Langley,M,19-23,Australia
554,Steven Huata,M,19-23,Australia
555,Ryan Virgona,M,19-23,Australia
556,Yu Kit Joshua Chen,M,19-23,Australia
557,Cameron Fogarty,M,19-23,Australia
558,Vince Malinao,M,19-23,Australia
559,Owen Pang,M,19-23,Australia
560,Nathaniel Liu,M,19-23,Australia
561,George Cai,M,19-23,Australia
562,Josh Allan,M,19-23,Australia
563,Josh Hely,M,19-23,Australia
564,Solomona Tohovaka,M,19-23,Australia
565,Sammy Isreb,M,40-49,Australia
566,Justin Crowley,M,60-69,Australia
567,Raymond Wong #1,M,40-49,Australia
568,Alexander Tasho,M,24-39,Australia
569,Charles Dominic Arevalo Allado,M,24-39,Australia
570,Koji Chen,M,24-39,Australia
571,Geoffrey To,M,24-39,Australia
572,Joseph Ou,M,24-39,Australia
573,Alec Pijcke,M,24-39,Australia
574,Merlin Viet,M,24-39,Australia
575,Aaron Sinson,M,24-39,Australia
576,Martin Jackson,M,40-49,Australia
577,Aydin Pantano,M,24-39,Australia
578,Matvi Kaplan,M,24-39,Australia
579,Luke Harris,M,24-39,Australia
580,Marcus Guzman,M,24-39,Australia
581,Michael Sharff,M,24-39,Australia
582,Vincent Molina Yao,M,24-39,Australia
583,Benjamin Grant,M,24-39,Australia
584,Michael Alimhamzah,M,24-39,Australia
585,Chen Gong,M,24-39,Australia
586,Duc Hieu Tran,M,14-18,Australia
587,Archer Roberts,M,14-18,Australia
588,James Dalgleish,M,14-18,Australia
589,William Dragsund,M,14-18,Australia
590,Max Tomic,M,14-18,Australia
591,David Cheung,M,60-69,Australia
592,Penelope Shearer,F,40-49,Australia
593,Cheyenne Alford,F,24-39,Australia
594,Okaile Okai,F,24-39,Australia
595,Nolane Juarez,F,24-39,Australia
596,Samantha Shanahan,F,24-39,Australia
597,Erin Marczan,F,24-39,Australia
598,Arshan Daver,M,19-23,Australia
599,Billy Hynes,M,19-23,Australia
600,Stuart Matthews,M,40-49,Australia
601,Chih-Peng Chang,M,24-39,Australia
602,Haroon Jan,M,24-39,Australia
603,Kevin Lexuan,M,24-39,Australia
604,Tony Lu,M,24-39,Australia
605,Nelson Gordon,M,24-39,Australia
606,Shaun Dwyer,M,24-39,Australia
607,Mitchell Sutherland,M,24-39,Australia
608,Alexander Baeza,M,24-39,Australia
609,Anthony Bingas,M,24-39,Australia
610,Rory Lynch,M,24-39,Australia
611,Kerri Smith #1,F,60-69,Australia
612,Jordan Blake,M,19-23,Australia
613,Nathan Hatcher,M,19-23,Australia
614,Alex Williams #12,M,19-23,Australia
615,Humphrey Guo,M,24-39,Australia
616,Cody Savage,M,24-39,Australia
617,Alexander Foster #2,M,24-39,Australia
618,Jack Rowley,M,24-39,Australia
619,Jordan Van Aalst,M,24-39,Australia
620,Steele Blakemore Ellemans,M,14-18,Australia
621,Anil Kumar Lakkundi,M,40-49,Australia
622,Megan Hardy,F,40-49,Australia
623,Kim Stevenson Farmakis,F,40-49,Australia
624,Amanda Care,F,50-59,Australia
625,Michelle Leach,F,50-59,Australia
626,Jacqueline Edwards,F,50-59,Australia
627,Melinda Craggs,F,50-59,Australia
628,Georgina Dawes,F,50-59,Australia
629,Lee-Anne Spinks,F,50-59,Australia
630,Danielle Rowe,F,50-59,Australia
631,Debra Jurss,F,50-59,Australia
632,Helen Southwell #1,F,60-69,Australia
633,Carolyn Toon,F,60-69,Australia
634,Carole Condon,F,60-69,Australia
635,Michele Aldous,F,60-69,Australia
636,Sharon Anne Jones,F,60-69,Australia
637,Kerry Rooke,F,60-69,Australia
638,Karen Ruse,F,70-999,Australia
639,Judy Murray,F,70-999,Australia
640,Rebecca Wright,F,50-59,Australia
641,Alison Butterworth,F,50-59,Australia
642,Tammy Gaspardis,F,60-69,Australia
643,Robert Rigby,M,40-49,Australia
644,Hayden Buckworth,M,40-49,Australia
645,Craig Amos,M,40-49,Australia
646,Michael Rowe,M,40-49,Australia
647,Damien Hezekiah,M,40-49,Australia
648,David Thompson #18,M,50-59,Australia
649,Bostijan Savle,M,50-59,Australia
650,Peter Jakimoff,M,50-59,Australia
651,Paul Williams #6,M,60-69,Australia
652,Romano Gaspardis,M,60-69,Australia
653,Bruce Sharman,M,60-69,Australia
654,Timothy Tyrrell,M,70-999,Australia
655,Craig Thorley,M,40-49,Australia
656,Scott Harvey #1,M,50-59,Australia
657,Kai Choong Yuen,M,70-999,Australia
658,Hrach Harry Hovasapian,M,70-999,Australia
659,Christine Wu,F,19-23,Australia
660,Natalie Bartolo,F,40-49,Australia
661,Cammilla White,F,40-49,Australia
662,Jo-Anne Amor,F,50-59,Australia
663,Isabelle Campisi,F,24-39,Australia
664,Jessica Cook #1,F,19-23,Australia
665,Bethany Parker,F,24-39,Australia
666,Michael Saliba,M,40-49,Australia
667,Evan McCloy,M,24-39,Australia
668,Paul Bouzas,M,24-39,Australia
669,Apelu Tima,M,24-39,Australia
670,Ercan Yilmaz,M,19-23,Australia
