meet_id,Date,MeetCountry,MeetState,MeetTown,MeetName,Federation,ParentFederation,Tested,Sanctioned
142,2026-02-28,Australia,TAS,,Trilogy 2 - Novice,APLA,IPF,Yes,No
143,2024-12-14,Australia,NSW,,City Strength HQ Open XX,APLA,IPF,Yes,Yes
144,2025-05-24,Australia,NSW,,City Strength HQ Open XXII,APLA,IPF,Yes,Yes
145,2025-09-13,Australia,VIC,,TSF 8th Birthday Bash,APLA,IPF,Yes,Yes
146,2013-05-20,Lithuania,,Kaunas,World Bench Press Championships,IPF,IPF,Yes,Yes
147,2017-05-22,Lithuania,,Kaunas,World Bench Press Championships,IPF,IPF,Yes,Yes
148,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,IPF,IPF,Yes,Yes
149,2013-09-24,USA,FL,Orlando,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
150,2002-10-08,Argentina,,Villa de Maria,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
151,2002-09-25,Taiwan,,Chia I,World Sub-Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
152,2007-09-12,Germany,,Schwedt,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
153,2001-10-17,Canada,SK,Moose Jaw,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
154,2005-07-14,Germany,,Duisburg,World Games,IPF,IPF,Yes,Yes
155,2025-11-10,Romania,,Cluj-Napoca,World Open Equipped Powerlifting Championships,IPF,IPF,Yes,Yes
156,2000-09-13,Taiwan,,Kao Ci,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
157,2021-11-08,Norway,,Stavanger,World Powerlifting Championships,IPF,IPF,Yes,Yes
158,1996-10-07,India,,Delhi,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
159,2001-04-22,Russia,NIZ,Nizhny Novgorod,Student's World Cup,IPF,IPF,Yes,Yes
160,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,IPF,IPF,Yes,Yes
161,2012-05-21,Czechia,,Pilsen,World Bench Press Championships,IPF,IPF,Yes,Yes
162,2012-06-12,Sweden,,Stockholm,World Classic Powerlifting Cup,IPF,IPF,Yes,Yes
163,1987-09-08,Peru,,Lima,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
164,2008-10-30,Canada,NL,St Jon's,World Powerlifting Championships,IPF,IPF,Yes,Yes
165,2014-11-03,USA,CO,Aurora,World Powerlifting Championships,IPF,IPF,Yes,Yes
166,1973-11-09,USA,PA,Harrisburg,Men's World Powerlifting Championships,IPF,IPF,,Yes
167,2019-05-18,Japan,,Tokyo,World Bench Press Championships,IPF,IPF,Yes,Yes
168,1983-09-03,Canada,ON,London,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
169,2002-04-18,USA,TX,Killeen,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
170,1989-09-14,Sweden,,Nässjö,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
171,2021-10-03,UK,,Birmingham,Arnold UK,IPF,IPF,Yes,Yes
172,1994-12-04,Finland,,Jarvenpaa,World Bench Press Championships,IPF,IPF,Yes,Yes
173,1981-05-11,USA,HI,Hononlulu,Women's World Powerlifting Championship,IPF,IPF,Yes,Yes
174,1997-12-05,Canada,,Leduc,World Disabled Bench Press Championships,IPF,IPF,Yes,Yes
175,1989-07-20,Germany,,Karlsruhe,World Games,IPF,IPF,Yes,Yes
176,2004-08-09,South Africa,,Pretoria,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
177,2015-09-28,USA,CO,Aurora,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
178,1985-09-20,Germany,,Soest,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
179,1984-05-19,USA,CA,Santa Monica,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
180,2018-07-09,Czechia,,Pilsen,3rd World University Powerlifting Cup,IPF,IPF,Yes,Yes
181,1985-08-24,Canada,ON,Toronto,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
182,2003-09-09,Poland,,Koscian,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
183,1991-12-14,Germany,,Russelsheim,Disabled Bench Press World Championships,IPF,IPF,Yes,Yes
184,2003-04-16,Czechia,,Nymburk,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
185,2014-09-21,Czechia,,Pilsen,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
186,1982-09-04,USA,NC,Greensboro,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
187,2017-10-01,Sweden,,Sundsvall,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
188,2011-08-30,Canada,SK,Moose Jaw,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
189,2018-10-02,Mongolia,,Ulaanbaatar,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
190,1998-12-11,Germany,,Amberg,World Bench Press Championships,IPF,IPF,Yes,Yes
191,2005-09-07,USA,ID,Fort Wayne,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
192,2022-07-08,USA,AL,Birmingham,World Games,IPF,IPF,Yes,Yes
193,2024-11-11,Iceland,,Reykjanesbaer,World Open Equipped Powerlifting Championships,IPF,IPF,Yes,Yes
194,1990-05-23,Sweden,,Jonkoping,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
195,2007-10-14,Austria,,Soelden,World Powerlifting Championships,IPF,IPF,Yes,Yes
196,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
197,1986-10-03,Norway,,Sande,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
198,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,IPF,IPF,Yes,Yes
199,2019-07-22,Estonia,,Tartu,University Powerlifting Cup,IPF,IPF,Yes,Yes
200,1995-07-23,India,,New Delhi,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
201,2003-12-05,Slovakia,,Trencin,World Bench Press Championships,IPF,IPF,Yes,Yes
202,2026-01-31,UK,,Sheffield,Sheffield Powerlifting Championships,IPF,IPF,Yes,Yes
203,2009-07-01,Czechia,,Pilsen,World Sub-Juniors & Juniors Bench Press Championships,IPF,IPF,Yes,Yes
204,2021-10-03,UK,,Birmingham,Arnold UK Bench Press,IPF,IPF,Yes,Yes
205,2005-04-20,Czechia,,Zlin,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
206,1991-10-11,Uruguay,,Montevideo,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
207,2004-11-09,South Africa,,Cape Town,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
208,1982-11-04,Germany,,Munich,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
209,1993-12-10,Hungary,,Budapest,World Disabled Bench Press Championships,IPF,IPF,Yes,Yes
210,2014-09-01,Hungary,,Oroshaza,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
211,1986-11-13,Netherlands,,The Hague,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
212,2023-05-20,South Africa,,Sun City,World Classic & Equipped Bench Press Championships,IPF,IPF,Yes,Yes
213,1995-06-25,Czechia,,Frydek-Mistek,World Bench Press Championships,IPF,IPF,Yes,Yes
214,1987-09-17,Peru,,Lima,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
215,2003-11-04,Denmark,,Vejle,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
216,2006-10-02,USA,TX,Killeen,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
217,1989-08-11,Germany,,Frankfurt,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
218,2001-11-15,Finland,,Sotkamo,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
219,2014-06-01,South Africa,,Potchefstroom,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
220,2015-04-16,USA,CO,Aurora,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
221,2021-10-22,Lithuania,,Vilnius,World Bench Press Championships,IPF,IPF,Yes,Yes
222,1982-05-07,England,,Birmingham,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
223,1986-09-11,India,,Coshin,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
224,2001-04-13,Luxembourg,,Hamm,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
225,1996-12-01,Denmark,,Silkeborg,World Disabled Bench Press Championships,IPF,IPF,Yes,Yes
226,1979-11-02,USA,OH,Dayton,Men's World Powerlifting Championships,IPF,IPF,,Yes
227,1979-11-02,USA,OH,Dayton,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
228,1988-11-11,Australia,WA,Perth,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
229,2006-09-05,Bulgaria,,Sofia,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
230,2016-09-03,Poland,,Szczyrk,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
231,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
232,2016-06-19,USA,TX,Killeen,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
233,2010-03-30,USA,FL,Orlando,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
234,1994-10-19,Slovakia,,Bratislava,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
235,2008-09-01,South Africa,,Potchefstroom,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
236,2021-07-08,Lithuania,,Vilnius,World University Powerlifting Cup,IPF,IPF,Yes,Yes
237,1983-12-17,USA,FL,Miami,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
238,2000-12-08,Czechia,,Frydek-Mistek,World Disabled Bench Press Championships,IPF,IPF,Yes,Yes
239,2002-09-10,Russia,KDA,Sochi,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
240,2022-11-14,Denmark,,Viborg,World Open Equipped Powerlifting Championships,IPF,IPF,Yes,Yes
241,2011-04-13,Denmark,,Rodby,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
242,1990-09-20,Norway,,Seinkjer,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
243,2000-05-24,Argentina,,Buenos Aires,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
244,2025-07-16,Turkey,,Istanbul,World University Powerlifting Cup,IPF,IPF,Yes,Yes
245,2007-06-10,Czechia,,Ostrava,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
246,2003-10-08,Canada,SK,Regina,World Masters Powerlifting Championships,IPF,IPF,Yes,Yes
247,1981-11-05,India,WB,Calcutta,Men's World Powerlifting Championships,IPF,IPF,,Yes
248,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
249,1993-10-29,Canada,ON,Hamilton,World Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
250,2006-04-19,USA,,Miami,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
251,1996-12-01,Denmark,,Silkeborg,World Bench Press Championships,IPF,IPF,Yes,Yes
252,2011-05-25,Austria,,Soelden,World Bench Press Championships,IPF,IPF,Yes,Yes
253,2003-09-24,India,,New Delhi,World Sub-Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
254,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
255,2018-11-05,Sweden,,Halmstad,World Powerlifting Championships,IPF,IPF,Yes,Yes
256,2008-04-16,Slovakia,,Bratislava,World Masters Bench Press Championships,IPF,IPF,Yes,Yes
257,2025-10-10,South Africa,,Cape Town,World Classic & Equipped Masters Powerlifting Championships,IPF,IPF,Yes,Yes
258,2017-07-10,South Africa,,Potchefstroom,World University Powerlifting Cup,IPF,IPF,Yes,Yes
259,2008-06-25,Czechia,,Prague,World Bench Press Championships,IPF,IPF,Yes,Yes
260,1997-12-05,Canada,,Leduc,World Bench Press Championships,IPF,IPF,Yes,Yes
261,2002-04-12,Russia,NGR,Veliky Novgorod,World Students Cup,IPF,IPF,Yes,Yes
262,1987-05-31,Australia,WA,Perth,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
263,1986-05-08,Sweden,,Hestra,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
264,2025-06-08,Germany,,Chemnitz,World Classic Powerlifting Championships,IPF,IPF,Yes,Yes
265,1996-06-25,Canada,ON,Kitchener,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
266,1975-11-22,England,,Birmingham,Men's World Powerlifting Championships,IPF,IPF,,Yes
267,2021-08-23,Romania,,Oradea,World Juniors Sub-Juniors & Masters Championships,IPF,IPF,Yes,Yes
268,2015-05-20,Sweden,,Sundsvall,World Bench Press Championships,IPF,IPF,Yes,Yes
269,2018-09-03,South Africa,,Potchefstroom,World Juniors & Sub-Juniors Championships,IPF,IPF,Yes,Yes
270,2024-10-05,South Africa,,Sun City,World Classic & Equipped Masters Powerlifting Championships,IPF,IPF,Yes,Yes
271,2026-05-23,Poland,,Warsaw,World Classic & Equipped Bench Press Championships,IPF,IPF,Yes,Yes
272,1983-11-10,Sweden,,Gothenburg,Men's World Powerlifting Championships,IPF,IPF,Yes,Yes
273,2024-08-28,Malta,,St. Paul's Bay,World Junior and Sub-Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
274,2024-07-13,Netherlands,,Amsterdam,Euro Muscle Show,IPF,IPF,Yes,Yes
275,2009-09-07,Brazil,,Ribeirao Preto-SP,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
276,2005-01-12,Sweden,,Stockholm,World Open Bench Press Championships,IPF,IPF,Yes,Yes
277,2013-08-27,USA,TX,Killeen,World Juniors & Sub-Juniors Championships,IPF,IPF,Yes,Yes
278,2013-07-30,Colombia,,Cali,World Games,IPF,IPF,Yes,Yes
279,2017-11-13,Czechia,,Pilsen,World Powerlifting Championships,IPF,IPF,Yes,Yes
280,1994-05-25,New Zealand,BOP,Rotorua,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
281,1985-06-01,Austria,,Vienna,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
282,2001-09-16,Russia,KDA,Sochi,World Sub-Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
283,2016-11-14,USA,,Orlando,World Open Championships,IPF,IPF,Yes,Yes
284,2012-08-28,Poland,,Poland,World Sub-Juniors & Juniors Powerlifting Championships,IPF,IPF,Yes,Yes
285,2023-11-13,Lithuania,,Druskininkai,World Open Equipped Powerlifting Championships,IPF,IPF,Yes,Yes
286,2002-05-29,Germany,,Riesa,Women's World Powerlifting Championships,IPF,IPF,Yes,Yes
287,2023-07-18,Lebanon,,Beirut,Arab Cup,IPF,IPF,Yes,Yes
288,2012-11-10,Puerto Rico,,Aguadilla,World Powerlifting Championships,IPF,IPF,Yes,Yes
